-88.02	-203.78	171.94
-87.43	-205.10	171.88
-87.36	-207.53	171.30
-86.10	-207.81	171.06
-85.45	-210.79	170.56
-84.84	-211.33	170.58
-84.08	-214.01	170.42
-82.86	-214.38	169.95
-81.53	-215.66	170.61
-80.94	-216.97	170.08
-78.94	-218.50	170.00
-76.64	-220.16	170.26
-75.94	-219.93	169.48
-74.48	-221.46	169.24
-72.40	-222.23	168.79
-70.75	-222.71	168.82
-68.82	-222.78	168.48
-67.57	-222.90	169.14
-65.72	-223.56	169.71
-63.70	-222.78	169.74
-62.70	-223.74	169.43
-60.51	-223.65	168.85
-59.08	-223.97	168.58
-56.63	-223.50	168.32
-54.99	-223.42	168.91
-52.39	-222.31	168.79
-51.16	-222.01	168.70
-49.63	-220.71	169.23
-48.30	-219.98	168.68
-46.71	-219.39	167.98
-44.29	-218.38	168.66
-44.02	-216.99	168.80
-42.21	-216.22	169.06
-41.78	-214.72	168.66
-38.78	-214.29	169.77
-39.27	-211.59	168.85
-37.74	-210.15	169.04
-37.30	-210.23	169.57
-36.07	-207.28	169.85
-35.65	-204.95	169.09
-35.42	-204.18	169.67
-35.83	-201.30	170.31
-34.94	-199.89	170.51
-34.32	-198.47	169.88
-34.04	-197.01	170.73
-34.75	-194.21	171.10
-35.72	-193.00	171.57
-35.78	-191.51	171.52
-36.77	-190.05	172.15
-37.78	-187.91	171.30
-38.01	-186.28	171.26
-39.49	-184.26	172.17
-40.14	-182.77	172.79
-42.13	-181.42	172.47
-43.95	-180.47	173.17
-45.04	-178.58	173.26
-45.82	-178.54	172.81
-48.31	-176.97	172.74
-49.94	-175.62	173.86
-51.68	-176.09	173.58
-53.64	-175.63	174.27
-55.61	-175.09	173.69
-56.83	-174.53	173.38
-59.64	-174.70	173.74
-61.05	-173.95	173.25
-63.92	-174.34	173.84
-65.23	-174.72	174.17
-67.21	-174.19	174.66
-69.39	-175.09	174.01
-70.23	-175.59	174.02
-72.29	-175.87	174.10
-74.18	-176.11	173.70
-76.01	-178.09	173.75
-78.20	-178.34	173.73
-79.32	-180.61	174.23
-80.14	-180.53	173.16
-82.58	-181.86	172.59
-82.80	-183.06	173.25
-84.90	-185.56	172.37
-85.51	-185.81	172.30
-85.95	-188.15	172.76
-86.26	-188.92	171.98
-87.20	-190.73	172.58
-88.32	-193.52	171.61
-88.25	-194.94	171.95
-88.17	-196.05	171.65
-87.81	-198.39	171.91
-88.24	-199.14	170.61
-88.96	-201.46	171.20
-88.09	-202.15	170.82
-87.36	-205.14	170.45
-86.60	-205.32	169.88
-86.22	-207.48	169.69
-86.14	-208.86	170.07
-83.61	-210.88	168.89
-83.91	-210.41	169.14
-83.04	-213.21	169.07
-80.79	-214.36	169.24
-80.26	-216.08	168.08
-79.07	-216.88	168.60
